title,director,release year,domestic distributor,length in min,worldwide gross
Jurassic World,Colin Trevorrow,2015,Universal Pictures,124,1670400637
Superman Returns,Bryan Singer,2006,Warner Bros.,154,391081192
Batman Begins,Christopher Nolan,2005,Warner Bros.,140,371853783
Avatar,James Cameron,2009,20 Century Fox,162,2744336793
