title,director,release year,domestic distributor,length in min,film budget,worldwide gross,imdb rating
Avengers: Endgame,Anthony e Joe Russo,2019,Walt Disney,181,"356,000,000","2,797,800,564",8.5
Joker,Todd Phillips,2019,Warner Bros.,122,"55,000,000","1,071,030,470",8.6
Aquaman,James Wan,2018,Warner Bros.,143,"160,000,000","1,148,161,807",7
Venom,Ruben Fleischer,2018,Sony Pictures,112,"100,000,000","856,085,151",6.7
Wonder Woman,Patty Jenkins,2017,Walt Disney,130,"180,000,000","853,977,126",7.9
Thor: Ragnarok,Taika Waititi,2017,Warner Bros.,141,"149,000,000","821,847,012",7.4
Jurassic World,Colin Trevorrow,2015,Universal Pictures,124,"150,000,000","1,670,400,637",7
Inside Out,Pete Docter,2015,Walt Disney,95,"175,000,000","857,611,174",8.2
Maleficent,Robert Stromberg,2014,Walt Disney,97,"180,000,000","758,410,378",7
Captain America: The Winter Soldier,Anthony e Joe Russo,2014,Walt Disney,136,"170,000,000","714,421,503",7.7
Iron Man 3,Shane Black,2013,Walt Disney,130,"200,000,000","1,214,811,252",7.2
Gravity,Alfonso Cuarón,2013,Warner Bros.,91,"100,000,000","723,192,705",7.7
Superman Returns,Bryan Singer,2006,Warner Bros.,154,"270,000,000","391,081,192",6
Batman Begins,Christopher Nolan,2005,Warner Bros.,140,"150,000,000","371,853,783",8.2
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,2004,Warner Bros.,142,"130,000,000","795,634,069",7.9
The Matrix Reloaded,Andy e Larry Wachowski,2003,Warner Bros.,138,"150,000,000","739,412,035",7.2
Avatar,James Cameron,2009,Twentieth Century Fox,162,"237,000,000","2,744,336,793",7.8
The Dark Knight Rises,Christopher Nolan,2012,Warner Bros.,164,"448,139,099","1,081,041,287",8.4
The Hobbit: An Unexpected Journey,Peter Jackson,2012,Warner Bros.,169,"303,003,568","1,017,003,568",7.8
Ice Age: Continental Drift,Steve Martino,2012,Twentieth Century Fox,88,"161,321,843","877,244,782",6.6
The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,2012,Lionsgate,115,"292,324,737","829,746,820",5.5
The Amazing Spider-Man,Marc Webb,2012,Sony Pictures,136,"262,030,663","757,930,663",6.9
Madagascar 3: Europe's Most Wanted,Eric Darnell,2012,DreamWorks,93,"216,391,482","746,921,274",6.8
The Hunger Games,Gary Ross,2012,Lionsgate,142,"408,010,692","694,394,724",7.2
Men in Black 3,Barry Sonnenfeld,2012,Sony Pictures,106,"179,020,854","624,026,776",6.8
Harry Potter and the Deathly Hallows: Part 2,David Yates,2011,Warner Bros.,130,"381,011,219","1,341,511,219",8.1
Transformers: Dark of the Moon,Michael Bay,2011,Paramount Pictures,154,"352,390,543","1,123,794,079",6.2
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,2011,Walt Disney,136,"241,071,802","1,045,713,802",6.6
GoldenEye,Martin Campbell,1995,Metro-Goldwyn-Mayer,140,"60,000,000","352,194,034",7.2
Toy Story 2,John Lasseter,1999,Walt Disney,92,"90,000,000","487,059,677",7.9
